,Player,WS,WS/48
546,Aleksej Pokusevski,-0.1,-0.063
547,Aleksej Pokusevski,0.5,.070
548,Jordan Poole,-0.6,-0.013
549,Craig Porter Jr.,1.5,.108
550,Jontay Porter,0.7,.089
551,Michael Porter Jr.,6.2,.115
552,Otto Porter Jr.,0.3,.070
553,Bobby Portis,4.7,.112
554,Kristaps Porziņģis,7.9,.226
555,Micah Potter,0.3,.075
556,Dwight Powell,3.1,.181
557,Norman Powell,4.1,.099
558,Jason Preston,0.0,.026
559,Joshua Primo,-0.1,-0.585
560,Taurean Prince,1.9,.043
561,Payton Pritchard,6.1,.160
562,Olivier-Maxence Prosper,0.5,.076
563,Trevelin Queen,0.2,.056
564,Neemias Queta,1.8,.259
565,Immanuel Quickley,4.7,.115
566,Immanuel Quickley,2.2,.149
567,Immanuel Quickley,2.5,.095
568,Player,WS,WS/48
569,Lester Quinones,0.6,.068
570,Jahmi'us Ramsey,0.1,.021
571,Julius Randle,3.8,.113
572,Duop Reath,2.4,.095
573,Austin Reaves,5.9,.108
574,Cam Reddish,0.6,.030
575,Paul Reed,5.1,.154
576,Naz Reid,4.9,.120
577,Jared Rhoden,0.3,.060
578,Nick Richards,5.1,.140
579,Josh Richardson,2.1,.093
580,Duncan Robinson,3.6,.091
581,Jerome Robinson,-0.1,-0.040
582,Mitchell Robinson,2.5,.155
583,Orlando Robinson,0.9,.135
584,Jeremiah Robinson-Earl,0.6,.086
585,David Roddy,0.1,.004
586,David Roddy,0.1,.005
587,David Roddy,0.0,-0.006
588,Ryan Rollins,0.3,.155
589,Ryan Rollins,0.2,.147
590,Ryan Rollins,0.0,.199
591,Derrick Rose,0.4,.046
592,Terry Rozier,3.9,.091
593,Terry Rozier,2.0,.090
594,Terry Rozier,1.9,.092
595,Player,WS,WS/48
596,Rayan Rupert,-0.1,-0.009
597,D'Angelo Russell,5.1,.099
598,Matt Ryan,0.5,.065
599,Domantas Sabonis,12.6,.206
600,Luka Šamanić,-0.2,-0.029
601,Jermaine Samuels,0.2,.178
602,Adama Sanogo,0.2,.133
603,Gui Santos,0.7,.169
604,Dario Šarić,2.8,.123
605,Olivier Sarr,0.4,.186
606,Marcus Sasser,0.9,.033
607,Admiral Schofield,0.0,.006
608,Dennis Schröder,3.3,.063
609,Dennis Schröder,2.5,.076
610,Dennis Schröder,0.8,.042
611,Dereon Seabron,0.1,.087
612,Alperen Sengun,6.9,.163
613,Brice Sensabaugh,-0.3,-0.024
614,Collin Sexton,5.5,.127
615,Landry Shamet,0.3,.022
616,Day'Ron Sharpe,2.9,.152
617,Shaedon Sharpe,0.5,.022
618,Player,WS,WS/48
619,Ben Sheppard,0.8,.046
620,Pascal Siakam,6.9,.124
621,Pascal Siakam,3.0,.106
622,Pascal Siakam,3.9,.143
623,Ben Simmons,1.0,.133
624,Kobi Simmons,0.1,.098
625,Anfernee Simons,2.2,.068
626,Zavier Simpson,-0.2,-0.046
627,Jericho Sims,1.5,.127
628,Dmytro Skapintsev,0.0,-0.483
629,Jalen Slawson,0.0,.058
630,Javonte Smart,0.0,.005
631,Marcus Smart,0.2,.020
632,Dennis Smith Jr.,1.8,.080
633,Dru Smith,0.3,.125
634,Ish Smith,-0.4,-0.025
635,Jabari Smith Jr.,5.6,.111
636,Jalen Smith,4.0,.182
637,Nick Smith Jr.,-0.5,-0.036
638,Terquavion Smith,0.1,.050
639,Jeremy Sochan,1.4,.030
640,Pat Spencer,0.0,.084
641,Player,WS,WS/48
642,Jaden Springer,0.6,.052
643,Jaden Springer,0.3,.038
644,Jaden Springer,0.2,.092
645,Lamar Stevens,0.8,.068
646,Lamar Stevens,0.2,.093
647,Lamar Stevens,0.6,.061
648,Isaiah Stewart,1.7,.056
649,Julian Strawther,0.2,.015
650,Max Strus,3.9,.083
651,Jalen Suggs,4.7,.112
652,Cole Swider,-0.1,-0.050
653,Jae'Sean Tate,1.8,.082
654,Jayson Tatum,10.4,.189
655,Terry Taylor,0.3,.070
656,Garrett Temple,0.2,.032
