slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
terryty01,Tyrell Terry,POINT GUARD,20,DALLAS MAVERICKS,11,0,56,5,16,0,7,1,3,0,6,6,5,0,2,2,11
theisda01,Daniel Theis,CENTER,28,BOSTON CELTICS,42,37,1027,159,288,33,95,46,67,54,166,67,25,43,41,120,397
theisda01,Daniel Theis,CENTER,28,CHICAGO BULLS,23,14,574,93,178,16,57,28,43,39,97,41,16,14,25,47,230
thomabr01,Brodric Thomas,SHOOTING GUARD,24,HOUSTON ROCKETS,4,0,24,2,7,1,6,5,7,1,3,4,1,1,4,5,10
thomabr01,Brodric Thomas,SHOOTING GUARD,24,CLEVELAND CAVALIERS,28,1,375,37,101,15,53,26,39,7,42,26,14,9,18,35,115
thomais02,Isaiah Thomas,POINT GUARD,31,NEW ORLEANS PELICANS,3,0,48,9,27,3,12,2,2,1,3,5,1,0,6,3,23
thomakh01,Khyri Thomas,SHOOTING GUARD,24,HOUSTON ROCKETS,5,2,153,32,66,9,27,9,9,7,11,25,9,6,6,8,82
thomama02,Matt Thomas,SHOOTING GUARD,26,TORONTO RAPTORS,26,0,192,24,62,17,41,6,7,3,18,9,2,0,6,10,71
thomama02,Matt Thomas,SHOOTING GUARD,26,UTAH JAZZ,19,0,134,26,65,10,39,6,7,4,19,10,2,0,8,8,68
thomptr01,Tristan Thompson,CENTER,29,BOSTON CELTICS,54,43,1287,169,326,0,3,71,120,169,270,67,24,33,62,119,409
thornsi01,Sindarius Thornwell,SHOOTING GUARD,26,NEW ORLEANS PELICANS,14,1,73,7,21,3,9,0,2,1,4,4,5,1,4,3,17
thornsi01,Sindarius Thornwell,SHOOTING GUARD,26,ORLANDO MAGIC,7,0,144,8,25,4,14,4,6,2,11,17,8,1,3,12,24
thybuma01,Matisse Thybulle,SHOOTING GUARD,23,PHILADELPHIA 76ERS,65,8,1298,102,243,43,143,8,18,30,94,63,105,71,32,127,255
tilliki02,Killian Tillie,CENTER,22,MEMPHIS GRIZZLIES,18,1,182,19,57,10,33,9,11,6,18,8,5,8,2,20,57
